Team(IOC Code),summer_rank,GoldInSummer,SilverInSummer,BronzeInSummer,SummerTotalMedals,winter_rank,GoldInWinter,SilverInWinter,BronzeInWinter,WinterTotalMedals,overall_rank,TotalGold,TotalSilver,TotalBronze,TotalMedals,Country
?Norway,25,56,49,47,152,1,132,125,111,368,48,188,174,158,520,Norway
?United States,1,1022,795,706,2523,2,105,112,88,305,50,1127,907,794,2828,United States of America
?Germany,5,191,194,230,615,3,92,88,60,240,28,283,282,290,855,Germany
?Austria,38,18,33,36,87,4,64,81,87,232,50,82,114,123,319,Austria
?Canada,16,64,102,136,302,5,73,64,62,199,49,137,166,198,501,Canada
?Soviet Union,2,395,319,296,1010,6,78,57,59,194,18,473,376,355,1204,Soviet Union
?Finland,15,101,85,117,303,7,43,63,61,167,48,144,148,178,470,Finland
?Sweden,9,145,170,179,494,8,57,46,55,158,50,202,216,234,652,Sweden
?Switzerland,24,50,75,67,192,9,56,45,52,153,51,106,120,119,345,Switzerland
?Netherlands,17,85,92,108,285,10,45,44,41,130,47,130,136,149,415,Netherlands
?France,4,212,241,263,716,11,36,35,53,124,51,248,276,316,840,France
?Italy,6,206,178,193,577,12,40,36,48,124,50,246,214,241,701,Italy
?Russia,12,149,125,152,426,13,47,39,35,121,12,196,164,187,547,Russia
?East Germany,13,153,129,127,409,14,39,36,35,110,11,192,165,162,519,East Germany
?South Korea,19,90,87,90,267,15,31,25,14,70,35,121,112,104,337,South Korea
?China,7,224,167,155,546,16,13,28,21,62,21,237,195,176,608,China
?Japan,11,142,136,161,439,17,14,22,22,58,43,156,158,183,497,Japan
?West Germany,22,56,67,81,204,18,11,15,13,39,11,67,82,94,243,West Germany
?Great Britain,3,263,295,293,851,19,11,4,17,32,51,274,299,310,883,Great Britain
?Czech Republic,46,15,17,24,56,20,9,11,11,31,13,24,28,35,87,Czech Republic
?Czechoslovaki,28,49,49,45,143,21,2,8,15,25,32,51,57,60,168,Czechoslovaki
?Unified Team,34,45,38,29,112,22,9,6,8,23,2,54,44,37,135,Unified Team
?Poland,18,68,84,132,284,23,7,7,8,22,44,75,91,140,306,Poland
?United Team of Germany,31,28,54,36,118,24,8,6,5,19,6,36,60,41,137,United Team of Germany
?Belarus,40,12,27,39,78,25,8,5,5,18,13,20,32,44,96,Belarus
?Slovenia,66,5,8,10,23,26,2,5,10,17,15,7,13,20,40,Slovenia
?Olympic Athletes from Russia,151,0,0,0,0,27,2,6,9,17,1,2,6,9,17,Olympic Athletes from Russia
?Australia,8,147,163,187,497,28,5,5,5,15,45,152,168,192,512,Australia
?Croatia,51,11,10,12,33,29,4,6,1,11,15,15,16,13,44,Croatia
?Liechtenstein,152,0,0,0,0,30,2,2,6,10,36,2,2,6,10,Liechtenstein
?Latvia,69,3,11,5,19,31,1,3,5,9,22,4,14,10,28,Latvia
?Ukraine,30,34,30,56,120,32,3,1,4,8,13,37,31,60,128,Ukraine
?Kazakhstan,45,15,21,28,64,33,1,3,4,8,13,16,24,32,72,Kazakhstan
?Slovakia,58,9,12,7,28,34,3,4,1,8,13,12,16,8,36,Slovakia
?Hungary,10,175,147,169,491,35,1,2,4,7,49,176,149,173,498,Hungary
?Estonia,50,9,9,16,34,36,4,2,1,7,22,13,11,17,41,Estonia
?Bulgaria,21,51,87,80,218,38,1,2,3,6,40,52,89,83,224,Bulgaria
?Belgium,27,40,53,55,148,37,1,2,3,6,47,41,55,58,154,Belgium
?Spain,26,45,64,41,150,39,1,0,3,4,43,46,64,44,154,Spain
?Yugoslavia,37,28,31,31,90,40,0,3,1,4,34,28,34,32,94,Yugoslavia
?New Zealand,32,46,27,44,117,41,0,1,2,3,39,46,28,46,120,New Zealand
?North Korea,48,16,16,22,54,42,0,1,1,2,19,16,17,23,56,North Korea
?Luxembourg,126,1,1,0,2,43,0,2,0,2,32,1,3,0,4,Luxembourg
?Romania,14,89,94,121,304,44,0,0,1,1,42,89,94,122,305,Romania
?Denmark,23,45,74,75,194,45,0,1,0,1,41,45,75,75,195,Denmark
?Uzbekistan,56,7,6,18,31,46,1,0,0,1,13,8,6,18,32,Uzbekistan
?Cuba,20,78,68,80,226,110,0,0,0,0,20,78,68,80,226,Cuba
?Brazil,29,30,36,63,129,60,0,0,0,0,30,30,36,63,129,Brazil
?Greece,33,33,43,40,116,47,0,0,0,0,47,33,43,40,116,Greece
?Kenya,35,31,38,34,103,80,0,0,0,0,18,31,38,34,103,Kenya
?Turkey,36,39,24,28,91,50,0,0,0,0,39,39,24,28,91,Turkey
?South Africa,39,26,31,29,86,64,0,0,0,0,26,26,31,29,86,South Africa
?Jamaica,41,22,35,21,78,61,0,0,0,0,25,22,35,21,78,Jamaica
?Argentina,42,21,25,28,74,48,0,0,0,0,43,21,25,28,74,Argentina
?Iran,43,21,21,27,69,55,0,0,0,0,27,21,21,27,69,Iran
?Mexico,44,13,24,32,69,58,0,0,0,0,32,13,24,32,69,Mexico
?Ethiopia,47,22,11,21,54,90,0,0,0,0,15,22,11,21,54,Ethiopia
?Azerbaijan,49,7,11,24,42,74,0,0,0,0,12,7,11,24,42,Azerbaijan
?Thailand,52,9,8,16,33,81,0,0,0,0,20,9,8,16,33,Thailand
?Georgia,53,8,7,17,32,65,0,0,0,0,13,8,7,17,32,Georgia
?Indonesia,54,7,13,12,32,111,0,0,0,0,15,7,13,12,32,Indonesia
?Egypt,55,7,10,15,32,97,0,0,0,0,23,7,10,15,32,Egypt
?Ireland,57,9,10,12,31,66,0,0,0,0,28,9,10,12,31,Ireland
?Colombia,59,5,9,14,28,91,0,0,0,0,21,5,9,14,28,Colombia
?India,60,9,7,12,28,57,0,0,0,0,34,9,7,12,28,India
?Mongolia,61,2,10,14,26,53,0,0,0,0,27,2,10,14,26,Mongolia
?Nigeria,62,3,10,12,25,98,0,0,0,0,17,3,10,12,25,Nigeria
?Lithuania,63,6,6,13,25,59,0,0,0,0,18,6,6,13,25,Lithuania
?Chinese Taipei,64,5,7,12,24,54,0,0,0,0,26,5,7,12,24,Chinese Taipei
?Portugal,65,4,8,12,24,62,0,0,0,0,32,4,8,12,24,Portugal
?Morocco,67,6,5,12,23,67,0,0,0,0,21,6,5,12,23,Morocco
?Trinidad and Tobago,68,3,5,11,19,84,0,0,0,0,20,3,5,11,19,Trinidad and Tobago
?Mixed team,70,8,5,4,17,112,0,0,0,0,3,8,5,4,17,Mixed team
?Algeria,71,5,4,8,17,85,0,0,0,0,16,5,4,8,17,Algeria
?Serbia,72,3,6,6,15,86,0,0,0,0,7,3,6,6,15,Serbia
?Venezuela,73,2,4,9,15,82,0,0,0,0,22,2,4,9,15,Venezuela
?Armenia,74,2,6,6,14,68,0,0,0,0,13,2,6,6,14,Armenia
?Bahamas,75,6,2,6,14,113,0,0,0,0,16,6,2,6,14,Bahamas
?Tunisia,76,4,2,7,13,114,0,0,0,0,14,4,2,7,13,Tunisia
?Chile,77,2,7,4,13,51,0,0,0,0,40,2,7,4,13,Chile
?Australasia,78,3,4,5,12,115,0,0,0,0,2,3,4,5,12,Australasia
?Malaysia,79,0,7,4,11,99,0,0,0,0,14,0,7,4,11,Malaysia
?Pakistan,80,3,3,4,10,87,0,0,0,0,20,3,3,4,10,Pakistan
?Uruguay,81,2,2,6,10,100,0,0,0,0,22,2,2,6,10,Uruguay
?Philippines,82,0,3,7,10,77,0,0,0,0,26,0,3,7,10,Philippines
?Israel,83,1,1,7,9,69,0,0,0,0,23,1,1,7,9,Israel
?Puerto Rico,84,1,2,6,9,70,0,0,0,0,25,1,2,6,9,Puerto Rico
?Russian Empire,85,1,4,3,8,116,0,0,0,0,3,1,4,3,8,Russian Empire
?Zimbabwe,86,3,4,1,8,101,0,0,0,0,14,3,4,1,8,Zimbabwe
?Dominican Republic,87,3,2,2,7,117,0,0,0,0,14,3,2,2,7,Dominican Republic
?Uganda,88,2,3,2,7,118,0,0,0,0,15,2,3,2,7,Uganda
?Cameroon,89,3,1,2,6,102,0,0,0,0,15,3,1,2,6,Cameroon
?Qatar,90,0,1,4,5,119,0,0,0,0,9,0,1,4,5,Qatar
?Moldova,91,0,2,3,5,71,0,0,0,0,13,0,2,3,5,Moldova
?Vietnam,92,1,3,1,5,120,0,0,0,0,15,1,3,1,5,Vietnam
?Singapore,93,1,2,2,5,103,0,0,0,0,17,1,2,2,5,Singapore
?Bohemia,94,0,1,3,4,121,0,0,0,0,3,0,1,3,4,Bohemia
?Namibia,95,0,4,0,4,122,0,0,0,0,7,0,4,0,4,Namibia
?Tajikistan,96,1,1,2,4,83,0,0,0,0,10,1,1,2,4,Tajikistan
?Kyrgyzstan,97,0,1,3,4,72,0,0,0,0,13,0,1,3,4,Kyrgyzstan
?Ghana,98,0,1,3,4,92,0,0,0,0,16,0,1,3,4,Ghana
?Peru,99,1,3,0,4,93,0,0,0,0,20,1,3,0,4,Peru
?Costa Rica,100,1,1,2,4,75,0,0,0,0,21,1,1,2,4,Costa Rica
?Lebanon,101,0,2,2,4,52,0,0,0,0,34,0,2,2,4,Lebanon
?Iceland,102,0,2,2,4,49,0,0,0,0,38,0,2,2,4,Iceland
?Independent Olympic Participants,103,0,1,2,3,128,0,0,0,0,1,0,1,2,3,Independent Olympic Participants
?Bahrain,104,2,1,0,3,123,0,0,0,0,9,2,1,0,3,Bahrain
?Saudi Arabia,105,0,1,2,3,126,0,0,0,0,11,0,1,2,3,Saudi Arabia
?Ivory Coast,106,1,1,1,3,124,0,0,0,0,13,1,1,1,3,Ivory Coast
?Syria,107,1,1,1,3,127,0,0,0,0,13,1,1,1,3,Syria
?Panama,108,1,0,2,3,125,0,0,0,0,17,1,0,2,3,Panama
?Hong Kong,109,1,1,1,3,78,0,0,0,0,21,1,1,1,3,Hong Kong
?British West Indies,110,0,0,2,2,130,0,0,0,0,1,0,0,2,2,British West Indies
?Serbia and Montenegro,111,0,2,0,2,105,0,0,0,0,2,0,2,0,2,Serbia and Montenegro
?Independent Olympic Athletes,112,1,0,1,2,142,0,0,0,0,3,1,0,1,2,Independent Olympic Athletes
?Burundi,113,1,1,0,2,131,0,0,0,0,6,1,1,0,2,Burundi
?Grenada,114,1,1,0,2,132,0,0,0,0,9,1,1,0,2,Grenada
?United Arab Emirates,115,1,0,1,2,140,0,0,0,0,9,1,0,1,2,United Arab Emirates
?Mozambique,116,1,0,1,2,135,0,0,0,0,10,1,0,1,2,Mozambique
?Kuwait?,117,0,0,2,2,134,0,0,0,0,12,0,0,2,2,Kuwait?
?Niger,118,0,1,1,2,136,0,0,0,0,12,0,1,1,2,Niger
?Suriname,119,1,0,1,2,138,0,0,0,0,12,1,0,1,2,Suriname
?Tanzania,120,0,2,0,2,139,0,0,0,0,13,0,2,0,2,Tanzania
?Zambia,121,0,1,1,2,141,0,0,0,0,13,0,1,1,2,Zambia
?Afghanistan,122,0,0,2,2,129,0,0,0,0,14,0,0,2,2,Afghanistan
?Ecuador,123,1,1,0,2,104,0,0,0,0,15,1,1,0,2,Ecuador
?Haiti,124,0,1,1,2,133,0,0,0,0,15,0,1,1,2,Haiti
?Sri Lanka,125,0,2,0,2,137,0,0,0,0,17,0,2,0,2,Sri Lanka
?Kosovo,127,1,0,0,1,108,0,0,0,0,2,1,0,0,1,Kosovo
?Montenegro,128,0,1,0,1,89,0,0,0,0,6,0,1,0,1,Montenegro
?Eritrea,129,0,0,1,1,106,0,0,0,0,6,0,0,1,1,Eritrea
?Djibouti,130,0,0,1,1,145,0,0,0,0,8,0,0,1,1,Djibouti
?Mauritius,131,0,0,1,1,150,0,0,0,0,9,0,0,1,1,Mauritius
?Samoa,132,0,1,0,1,151,0,0,0,0,9,0,1,0,1,Samoa
?Botswana,133,0,1,0,1,144,0,0,0,0,10,0,1,0,1,Botswana
?Gabon,134,0,1,0,1,146,0,0,0,0,10,0,1,0,1,Gabon
?Jordan,135,1,0,0,1,149,0,0,0,0,10,1,0,0,1,Jordan
?Tonga,136,0,1,0,1,96,0,0,0,0,11,0,1,0,1,Tonga
 North Macedonia,137,0,0,1,1,76,0,0,0,0,12,0,0,1,1,North Macedonia
?Togo,138,0,0,1,1,95,0,0,0,0,12,0,0,1,1,Togo
?Barbados,139,0,0,1,1,143,0,0,0,0,12,0,0,1,1,Barbados
?Sudan,140,0,1,0,1,152,0,0,0,0,12,0,1,0,1,Sudan
?Paraguay,141,0,1,0,1,109,0,0,0,0,13,0,1,0,1,Paraguay
?Iraq,142,0,0,1,1,148,0,0,0,0,14,0,0,1,1,Iraq
?Netherlands Antilles,143,0,1,0,1,94,0,0,0,0,15,0,1,0,1,Netherlands Antilles
?Guatemala,144,0,1,0,1,107,0,0,0,0,15,0,1,0,1,Guatemala
?Fiji,145,1,0,0,1,88,0,0,0,0,17,1,0,0,1,Fiji
?Guyana,146,0,0,1,1,147,0,0,0,0,17,0,0,1,1,Guyana
?Virgin Islands,147,0,1,0,1,73,0,0,0,0,19,0,1,0,1,Virgin Islands
?Senegal,148,0,1,0,1,79,0,0,0,0,19,0,1,0,1,Senegal
?Cyprus,149,0,1,0,1,56,0,0,0,0,21,0,1,0,1,Cyprus
?Bermuda,150,0,0,1,1,63,0,0,0,0,26,0,0,1,1,Bermuda
