Team(IOC Code),summer_rank,GoldInSummer,SilverInSummer,BronzeInSummer,SummerTotalMedals,winter_rank,GoldInWinter,SilverInWinter,BronzeInWinter,WinterTotalMedals,overall_rank,total_gold,total_silver,total_bronze,total_medals,Country
?United States,27,1022,795,706,2523,23,105,112,88,305,50,1127,907,794,2828,United States of America
?Soviet Union,9,395,319,296,1010,9,78,57,59,194,18,473,376,355,1204,Soviet Union
?Great Britain,28,263,295,293,851,23,11,4,17,32,51,274,299,310,883,Great Britain
?France,28,212,241,263,716,23,36,35,53,124,51,248,276,316,840,France
?Germany,16,191,194,230,615,12,92,88,60,240,28,283,282,290,855,Germany
?Italy,27,206,178,193,577,23,40,36,48,124,50,246,214,241,701,Italy
?China,10,224,167,155,546,11,13,28,21,62,21,237,195,176,608,China
?Australia,26,147,163,187,497,19,5,5,5,15,45,152,168,192,512,Australia
?Sweden,27,145,170,179,494,23,57,46,55,158,50,202,216,234,652,Sweden
?Hungary,26,175,147,169,491,23,1,2,4,7,49,176,149,173,498,Hungary
